Index,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind,Country,Date
285,mayor pablo lagerenza,-19.93,-60.77,89.37,32,0,9.84,PY,1601427481
286,alice springs,-23.7,133.88,73.4,40,0,13.87,AU,1601427418
287,rize,40.9,40.89,53.82,52,96,4.65,TR,1601427630
288,constitucion,-35.33,-72.42,51.31,89,100,13.78,CL,1601427567
289,rock sound,24.9,-76.2,83.97,75,45,16.28,BS,1601427341
290,sabzevar,36.21,57.68,44.51,49,0,5.59,IR,1601427631
291,cherskiy,68.75,161.3,45.46,58,100,16.62,RU,1601427631
292,numan,9.47,12.03,71.58,95,100,5.44,NG,1601427632
293,kabanjahe,3.1,98.49,69.06,88,48,1.36,ID,1601427632
294,kiunga,-6.12,141.29,83.21,73,92,5.37,PG,1601427632
295,airai,-8.93,125.41,76.23,40,100,5.95,TL,1601427633
296,lavrentiya,65.58,-171,37.81,76,0,1.52,RU,1601427633
297,camana,-16.62,-72.71,60.96,79,83,6.8,PE,1601427634
298,bhor,18.17,73.85,68.31,86,93,2.08,IN,1601427634
299,diffa,13.32,12.61,77.88,71,99,10.22,NE,1601427426
300,fredericksburg,38.3,-77.46,59,100,90,8.05,US,1601427635
301,hammerfest,70.66,23.68,50,87,75,5.82,NO,1601427635
302,umm lajj,25.02,37.27,86.41,41,0,8.19,SA,1601427635
303,huarmey,-10.07,-78.15,62.17,84,60,7.45,PE,1601427636
304,mandalgovi,45.76,106.27,44.38,81,98,15.66,MN,1601427636
305,luanda,-8.84,13.23,73.4,83,75,2.24,AO,1601427458
306,husavik,66.04,-17.34,33.8,81,90,14.83,IS,1601427637
307,gat,31.61,34.76,75.99,86,0,3.42,IL,1601427598
308,nanortalik,60.14,-45.24,35.31,77,0,19.46,GL,1601427637
309,pizarro,4.95,-77.37,76.17,89,100,5.82,CO,1601427638
310,phan thiet,10.93,108.1,79.29,82,100,7.36,VN,1601427638
311,helena,46.59,-112.04,80.6,13,1,16.11,US,1601427554
312,morehead,37.27,-87.18,57.2,71,1,5.86,US,1601427638
313,tuatapere,-46.13,167.68,47.19,80,100,9.35,NZ,1601427639
314,ussel,45.55,2.32,46.99,59,0,1.34,FR,1601427639
315,vaasa,63.1,21.62,54,100,90,3.36,FI,1601427640
316,walvis bay,-22.96,14.51,51.01,93,0,9.17,NA,1601427640
317,fairbanks,64.84,-147.72,55.4,43,1,4.25,US,1601427632
318,tuxpan,19.55,-103.4,78.8,78,75,11.41,MX,1601427641
319,ashqelon,31.67,34.57,77,83,0,4.7,IL,1601427642
320,xuanwu,32.07,118.81,69.8,83,0,4.47,CN,1601427642
321,valparaiso,-33.04,-71.63,51.8,76,0,4.7,CL,1601427643
322,rockport,28.02,-97.05,77,31,1,5.82,US,1601427403
323,koekelare,51.09,2.97,55.99,93,20,5.82,BE,1601427643
324,sitka,57.05,-135.33,53.6,81,90,8.05,US,1601427644
325,flinders,-34.58,150.86,68,62,100,4,AU,1601427595
326,port blair,11.67,92.75,82.27,80,78,18.21,IN,1601427645
327,mar del plata,-38,-57.56,63,63,94,8.05,AR,1601427557
328,baiyin,36.56,104.21,62.01,93,90,6.71,CN,1601427645
329,saldanha,-33.01,17.94,50,81,4,6.93,ZA,1601427646
330,shimoda,34.67,138.95,69.8,68,40,16.11,JP,1601427401
331,mayo,38.89,-76.51,73.4,100,90,12.75,US,1601427647
332,ponta do sol,32.67,-17.1,69.8,68,75,6.93,PT,1601427647
333,tambun,-6.26,107.07,87.01,69,41,4.7,ID,1601427648
334,longview,32.5,-94.74,69.8,40,1,2.28,US,1601427648
335,adrar,20.5,-10.07,91.31,18,0,7.81,MR,1601427649
336,bandar-e lengeh,26.56,54.88,82.4,83,0,4.7,IR,1601427649
337,san andres,12.58,-81.7,82.4,78,75,2.24,CO,1601427582
338,goderich,43.75,-81.72,60.01,66,100,1.99,CA,1601427650
339,alyangula,-13.85,136.42,87.8,55,75,14.99,AU,1601427651
340,along,28.17,94.77,72.84,86,15,0.63,IN,1601427651
341,mombetsu,44.35,143.35,62.6,77,100,1.12,JP,1601427652
342,oussouye,12.48,-16.55,82.4,88,100,2.24,SN,1601427652
343,churapcha,62,132.43,39.4,69,0,8.43,RU,1601427653
344,te anau,-45.42,167.72,45.48,82,11,2.8,NZ,1601427487
345,rudsar,37.14,50.29,66.2,72,40,2.24,IR,1601427653
346,marquette,46.53,-87.63,52,92,100,4.43,US,1601427600
347,bethanien,-26.5,17.16,45.57,40,0,2.91,NA,1601427654
348,zharkent,44.16,80,42.87,53,0,3.27,KZ,1601427655
349,ransang,8.96,117.58,82.71,75,97,0.74,PH,1601427655
350,bizhbulyak,53.7,54.26,48.36,84,0,3.4,RU,1601427656
351,hurghada,27.26,33.81,84.2,42,0,9.17,EG,1601427656
352,saint-augustin,51.23,-58.65,59.86,92,41,15.35,CA,1601427657
353,pilar,-9.6,-35.96,71.6,88,62,3.36,BR,1601427657
354,kokstad,-30.55,29.42,45.09,85,100,2.73,ZA,1601427658
355,deputatskiy,69.3,139.9,38.28,75,95,9.55,RU,1601427658
356,teya,60.38,92.63,31.01,93,100,4.7,RU,1601427659
357,chara,56.91,118.26,42.75,65,100,0.4,RU,1601427659
358,kimbe,-5.55,150.14,89.62,59,34,4,PG,1601427659
359,houlton,46.13,-67.84,68,88,75,8.05,US,1601427660
360,fort morgan,40.25,-103.8,69.8,19,1,6.93,US,1601427394
361,kaeo,-35.1,173.78,59.41,50,97,6.76,NZ,1601427661
362,roald,62.58,6.13,51.8,100,100,6.93,NO,1601427661
363,birjand,32.87,59.22,41,35,72,9.17,IR,1601427662
364,grindavik,63.84,-22.43,39.2,86,75,3.36,IS,1601427663
365,hidalgo,20.5,-99,50.83,70,9,3.94,MX,1601427664
366,eyl,7.98,49.82,76.95,82,73,12.46,SO,1601427664
367,ndioum,16.51,-14.65,86,70,0,2.24,SN,1601427664
368,verkhnyaya toyma,62.23,45,47.52,90,73,4.34,RU,1601427665
369,wasilla,61.58,-149.44,54,46,1,2.33,US,1601427665
370,coahuayana,18.73,-103.68,78.8,78,75,11.41,MX,1601427665
371,yangambi,0.81,24.43,68.4,99,100,0.29,CD,1601427666
372,deer lake,49.17,-57.43,66.2,88,40,2.24,CA,1601427666
373,la ronge,55.1,-105.28,55.4,47,75,13.87,CA,1601427666
374,bhachau,23.28,70.35,78.78,78,0,11.48,IN,1601427667
375,nobeoka,32.58,131.67,66.99,94,100,2.59,JP,1601427614
376,acari,-15.43,-74.62,64.18,63,78,4.7,PE,1601427667
377,lucenec,48.33,19.67,46.99,93,100,1.12,SK,1601427428
378,otjimbingwe,-22.35,16.13,56.07,34,0,5.03,NA,1601427668
379,olafsvik,64.89,-23.71,40.26,83,68,8.99,IS,1601427427
380,atar,20.52,-13.05,89.89,28,0,7.87,MR,1601427421
381,cortez,37.35,-108.59,71.6,18,1,3.36,US,1601427669
382,bitung,1.45,125.18,78.8,88,75,1.12,ID,1601427669
383,palmer,42.16,-72.33,71.01,100,90,5.82,US,1601427669
384,westport,41.14,-73.36,71.6,94,90,3.36,US,1601427670
385,prado,-17.34,-39.22,74.66,84,0,8.61,BR,1601427670
386,genhe,50.78,121.52,47.14,54,42,3.11,CN,1601427670
387,fortuna,40.6,-124.16,64.4,77,1,8.05,US,1601427671
388,cockburn town,21.46,-71.14,84.25,80,21,21.52,TC,1601427671
389,keti bandar,24.14,67.45,80.69,78,1,11.1,PK,1601427671
390,simpang empat,4.95,100.63,82.4,88,20,2.53,MY,1601427672
391,caravelas,-17.71,-39.25,74.14,84,0,7.27,BR,1601427668
392,havelock,34.88,-76.9,78.01,94,90,16.11,US,1601427672
393,kandrian,-6.22,149.55,82.96,75,83,12.73,PG,1601427673
394,north bend,43.41,-124.22,77,53,90,5.35,US,1601427634
395,brae,60.4,-1.35,51.8,81,0,16.11,GB,1601427443
396,korla,41.76,86.15,50,87,0,4.36,CN,1601427647
397,krasnoturansk,54.32,91.56,37.4,74,40,6.71,RU,1601427674
398,vryburg,-26.96,24.73,36.64,67,0,3.49,ZA,1601427674
399,inta,66.03,60.17,44.44,93,47,15.5,RU,1601427674
400,turayf,31.67,38.66,71.6,35,0,13.87,SA,1601427675
401,aklavik,68.22,-135.01,41,80,75,6.93,CA,1601427376
402,rocha,-34.48,-54.33,51.46,77,7,7.56,UY,1601427666
403,padang,-0.95,100.35,81.03,66,77,3.24,ID,1601427676
404,port-gentil,-0.72,8.78,76.77,78,100,11.25,GA,1601427676
405,salalah,17.02,54.09,75.2,83,20,4.7,OM,1601427676
406,portland,45.52,-122.68,86,32,20,2.1,US,1601427419
407,ozinki,51.18,49.68,52.81,58,100,8.37,RU,1601427677
408,de aar,-30.65,24.01,46.08,48,0,7.38,ZA,1601427677
409,nouadhibou,20.93,-17.03,71.6,73,0,18.34,MR,1601427678
410,meulaboh,4.14,96.13,79.03,83,99,4.14,ID,1601427400
411,martinsburg,39.46,-77.96,54,100,90,5.82,US,1601427678
412,berlevag,70.86,29.09,50.22,83,50,9.86,NO,1601427620
413,alta floresta,-9.88,-56.09,81.39,47,94,2.68,BR,1601427606
414,novopavlovka,51.22,109.21,43.2,66,2,1.9,RU,1601427679
415,vila velha,-20.33,-40.29,81,83,75,8.05,BR,1601427487
416,geraldton,-28.77,114.6,66.2,59,0,12.75,AU,1601427680
417,coihaique,-45.58,-72.07,39.2,51,20,5.82,CL,1601427616
418,general pico,-35.66,-63.76,62.6,61,0,8.61,AR,1601427680
419,aktash,50.3,87.73,22.96,94,99,3.71,RU,1601427681
420,tripoli,32.88,13.19,76.12,67,0,11.43,LY,1601427428
421,toyooka,35.53,134.83,66.2,100,75,1.12,JP,1601427681
422,cedar city,37.68,-113.06,78.8,7,1,5.82,US,1601427646
423,imbituba,-28.24,-48.67,68,77,75,13.87,BR,1601427399
424,baruun-urt,46.68,113.28,48.79,47,100,8.28,MN,1601427682
425,vostok,46.49,135.88,51.17,68,0,3.36,RU,1601427682
426,kayerkan,69.35,87.76,32,96,73,8.95,RU,1601427683
427,nuevo progreso,23.17,-97.95,70,65,76,3,MX,1601427683
428,havre-saint-pierre,50.23,-63.6,62.6,88,1,6.93,CA,1601427662
429,biltine,14.53,20.92,77.04,69,100,5.19,TD,1601427684
430,bemidji,47.47,-94.88,53.6,62,1,6.93,US,1601427652
431,san martin,-33.08,-68.47,78.8,3,0,6.93,AR,1601427685
432,cidreira,-30.18,-50.21,63.41,83,13,21.18,BR,1601427685
433,ganzhou,28.82,115.43,73.04,78,13,5.08,CN,1601427685
434,gondanglegi,-7.75,112.01,84.69,59,6,11.54,ID,1601427686
435,ambunti,-4.24,142.84,85.93,75,17,1.07,PG,1601427686
436,abu kamal,34.45,40.92,75.69,30,45,10.89,SY,1601427686
437,kapuskasing,49.42,-82.43,51.8,100,90,2.24,CA,1601427686
438,dzerzhinskoye,56.83,95.23,30.02,95,0,5.01,RU,1601427687
439,chicama,-7.84,-79.15,63.21,78,97,5.39,PE,1601427687
440,marrakesh,31.63,-8.01,69.15,54,88,0.49,MA,1601427654
441,anjangaon,21.16,77.31,73.17,84,6,5.26,IN,1601427688
442,pacific grove,36.62,-121.92,61,95,28,3.18,US,1601427688
443,hauterive,46.09,3.45,48.2,93,90,3.36,FR,1601427688
444,milkovo,54.72,158.62,49.17,78,72,1.68,RU,1601427689
445,marawi,8,124.29,78.01,79,78,3,PH,1601427634
446,klaksvik,62.23,-6.59,51.8,81,94,21.92,FO,1601427689
447,pochutla,15.74,-96.47,80.01,87,100,3.31,MX,1601427690
448,ayabe,35.3,135.25,72,100,75,1.12,JP,1601427690
449,nogliki,51.83,143.17,54.14,73,99,6.13,RU,1601427690
450,penzance,50.12,-5.54,57.2,82,100,20.8,GB,1601427691
451,la sarre,48.8,-79.2,48.88,90,76,7.34,CA,1601427691
452,srednekolymsk,67.45,153.68,46,82,100,6.55,RU,1601427691
453,jalu,29.03,21.55,77.07,56,0,10.92,LY,1601427692
454,jaruco,23.04,-82.01,80.6,83,20,2.24,CU,1601427692
455,calama,-22.47,-68.93,62.6,17,0,10.29,CL,1601427692
456,winnemucca,40.97,-117.74,84.2,9,1,3.36,US,1601427692
457,pompeia,-22.11,-50.17,80.17,49,36,11.41,BR,1601427692
458,longonjo,-12.91,15.25,58.24,89,100,1.19,AO,1601427693
459,niceville,30.52,-86.48,66.2,63,75,5.82,US,1601427554
460,poum,-20.23,164.02,71.53,66,4,11.56,NC,1601427694
461,yining,29.04,114.56,70.47,83,53,2.48,CN,1601427694
462,tselinnoye,53.08,85.67,31.69,96,65,10.58,RU,1601427695
463,solnechnyy,50.72,136.63,47.39,72,87,3.69,RU,1601427606
464,nuuk,64.18,-51.72,30.2,68,0,10.29,GL,1601427464
465,grand gaube,-20.01,57.66,70,88,91,3,MU,1601427628
466,lovozero,68,35.01,42.48,83,79,2.8,RU,1601427696
467,greenwood,34.17,-82.12,59,87,90,3.36,US,1601427696
468,quatre cocos,-20.21,57.76,71.6,88,75,6.93,MU,1601427640
469,bubaque,11.28,-15.83,81.75,80,73,7.72,GW,1601427697
470,wichita falls,33.91,-98.49,73.4,27,1,11.41,US,1601427697
471,port hardy,50.7,-127.42,66.2,77,20,2.15,CA,1601427697
472,ispravnaya,44.07,41.61,53.01,7,82,15.01,RU,1601427698
473,morondava,-20.28,44.28,74.26,65,0,7.2,MG,1601427698
474,gimli,50.63,-96.99,57,99,13,7.45,CA,1601427698
475,athens,37.98,23.72,71.01,56,20,8.61,GR,1601427508
476,kenai,60.55,-151.26,52,57,1,20.8,US,1601427683
477,necochea,-38.55,-58.74,61,71,0,7,AR,1601427699
478,pitimbu,-7.47,-34.81,73.4,88,66,4.7,BR,1601427474
479,ust-ishim,57.69,71.17,39.13,75,100,6.93,RU,1601427699
480,chernyshevskiy,63.01,112.47,28.31,92,0,5.44,RU,1601427700
481,muros,42.78,-9.06,53.01,88,7,1.99,ES,1601427700
482,angoche,-16.23,39.91,72,93,1,6.29,MZ,1601427700
483,assiniboia,49.63,-105.98,52.74,46,21,17.74,CA,1601427701
484,berdigestyakh,62.1,126.7,35.49,82,70,5.17,RU,1601427701
485,lasa,46.62,10.7,44.01,92,53,4.54,IT,1601427701
486,cape canaveral,28.41,-80.6,77,88,20,11.41,US,1601427702
487,sola,-13.88,167.55,84.2,79,90,5.82,VU,1601427702
488,shumskiy,54.83,99.13,32.31,94,100,9.01,RU,1601427702
489,marsabit,2.33,37.99,62.6,92,80,16.73,KE,1601427703
490,rodeo,38.03,-122.27,89.6,29,1,10.29,US,1601427703
491,taoudenni,22.68,-3.98,93.7,11,0,7.7,ML,1601427704
492,itaituba,-4.28,-55.98,78.44,67,29,2.01,BR,1601427689
493,tiznit,29.58,-9.5,69.17,66,0,1.61,MA,1601427704
494,ambo,-10.13,-76.2,59.63,66,97,6.31,PE,1601427549
495,sarangani,5.4,125.46,83.66,69,100,5.12,PH,1601427705
496,pisco,-13.7,-76.22,62.6,82,25,17.22,PE,1601427688
497,palafrugell,41.92,3.16,57,92,0,2.89,ES,1601427705
498,ryazanskaya,44.96,39.59,64,55,100,8.95,RU,1601427706
499,college,64.86,-147.8,55.4,50,40,5.82,US,1601427706
500,ilulissat,69.22,-51.1,28.4,63,71,5.82,GL,1601427585
501,ca mau,9.18,105.15,82.47,77,100,5.3,VN,1601427706
502,porto santo,33.07,-16.34,69.8,73,75,11.41,PT,1601427707
503,lubao,14.92,120.55,82.4,83,75,2.24,PH,1601427707
504,aberdeen,57.14,-2.1,50,93,75,11.41,GB,1601427419
505,halifax,44.65,-63.57,72,99,72,3,CA,1601427708
506,ostrovnoy,68.05,39.51,46.4,80,0,17.98,RU,1601427708
507,okhotsk,59.38,143.3,48.18,68,100,4.21,RU,1601427709
508,sendai,38.27,140.87,66.2,63,75,8.05,JP,1601427709
509,pervomaysk,48.04,30.85,56.03,92,100,6.17,UA,1601427709
510,bermejo,-32.88,-68.8,78.8,3,0,6.93,AR,1601427710
511,stornoway,58.21,-6.39,53.6,71,100,21.92,GB,1601427710
512,shatalovo,54.33,32.45,48.85,71,53,10.04,RU,1601427710
513,escanaba,45.75,-87.06,54,81,90,6.93,US,1601427711
514,masoko,-9.33,33.75,67.23,70,98,3.11,TZ,1601427711
515,mehamn,71.04,27.85,49.01,84,31,10.36,NO,1601427711
516,port hedland,-20.32,118.57,93.2,10,18,17.22,AU,1601427472
517,puerto leguizamo,-0.19,-74.78,71.15,99,100,4.38,CO,1601427712
518,pringsewu,-5.36,104.97,79.9,78,57,1.1,ID,1601427712
519,chapleau,47.84,-83.4,50,81,75,5.82,CA,1601427712
520,mount gambier,-37.83,140.77,55.4,93,90,14.99,AU,1601427712
521,moorhead,46.87,-96.77,62.6,42,75,8.05,US,1601427713
522,belaya gora,68.53,146.42,46.9,75,96,10.69,RU,1601427713
523,sembe,1.65,14.58,69.22,92,99,1.9,CG,1601427714
524,northam,51.03,-4.22,52,93,90,7,GB,1601427714
525,coolum beach,-26.53,153.1,73.99,62,2,4,AU,1601427714
526,eskilstuna,59.37,16.51,55.4,93,90,3.76,SE,1601427714
527,salinopolis,-0.61,-47.36,80.08,80,0,12.55,BR,1601427715
528,spas,48.89,24.06,51.4,92,100,7.27,UA,1601427715
529,ponta delgada,37.73,-25.67,66.2,63,20,9.17,PT,1601427715
530,bayan,46.08,127.4,53.2,64,0,4,CN,1601427716
531,san jeronimo,-11.95,-75.28,52.7,64,92,4.29,PE,1601427716
532,athabasca,54.72,-113.29,51.22,47,0,11.7,CA,1601427716
533,svetlaya,46.54,138.33,61.03,45,32,3.02,RU,1601427717
534,caucaguita,10.36,-66.8,73.99,80,82,3,VE,1601427717
535,neiafu,-18.65,-173.98,82.4,78,40,12.75,TO,1601427718
536,jumla,29.27,82.18,54.55,56,0,4.25,NP,1601427668
537,christchurch,-43.53,172.63,55.4,28,4,14.99,NZ,1601427718
538,rafiganj,24.82,84.65,77,94,75,3.58,IN,1601427719
539,kangaatsiaq,68.31,-53.46,30.43,96,40,8.16,GL,1601427571
540,chilca,-12.52,-76.74,62.6,77,40,16.11,PE,1601427719
541,beira,-19.84,34.84,73.4,94,75,4.7,MZ,1601427720
542,turukhansk,65.82,87.98,34.05,97,100,10.18,RU,1601427720
543,havre,49.58,0.33,59,93,75,2.24,FR,1601427721
544,san cristobal,7.77,-72.22,66.09,89,99,4.38,VE,1601427721
545,kindu,-2.95,25.95,68.74,97,97,1.61,CD,1601427721
546,haines junction,60.75,-137.51,45.84,58,100,1.83,CA,1601427646
547,obigarm,38.72,69.71,44.01,77,100,2.15,TJ,1601427722
548,saint-pierre,-21.34,55.48,68,72,9,6.93,RE,1601427650
549,casper,42.87,-106.31,75.2,11,1,13.87,US,1601427483
550,coleraine,55.13,-6.67,53.6,87,75,14.99,GB,1601427723
551,khowst,33.38,69.88,63,38,0,1.88,AF,1601427723
552,san vicente,-26.62,-54.13,73,65,79,3,AR,1601427717
553,kariba,-16.52,28.8,76.87,49,34,5.59,ZW,1601427724
554,aviles,43.55,-5.92,55.99,93,0,8.05,ES,1601427724
555,vila do maio,15.13,-23.22,78.8,78,20,11.41,CV,1601427724
556,mahebourg,-20.41,57.7,71.6,88,75,6.93,MU,1601427725
557,kaliua,-5.06,31.79,73.17,64,97,2.1,TZ,1601427725
558,mareeba,-17,145.43,80.01,62,0,8.01,AU,1601427725
559,belyy yar,53.6,91.39,37.4,74,40,6.71,RU,1601427726
560,tautira,-17.73,-149.15,87.8,55,40,6.93,PF,1601427443
561,puerto baquerizo moreno,-0.9,-89.6,66.88,86,57,12.91,EC,1601427569
562,pemangkat,1.17,108.97,80.17,78,73,5.57,ID,1601427680
563,hamilton,39.18,-84.53,54,87,75,4.7,US,1601427489
564,gryfice,53.92,15.2,53.01,93,90,2.24,PL,1601427727
565,mbaiki,3.87,17.99,68.02,99,100,3.36,CF,1601427727
566,karratha,-20.74,116.85,88.38,14,0,17.65,AU,1601427728
567,viedma,-40.81,-63,57.06,36,100,5.48,AR,1601427492
568,general jose eduvigis diaz,-27.17,-58.42,80.6,44,99,9.17,PY,1601427728
569,barentu,15.11,37.59,73.4,55,36,5.61,ER,1601427545
570,aykhal,66,111.5,23,92,90,6.71,RU,1601427729
571,santiago de cao,-7.96,-79.24,60.93,89,44,10.13,PE,1601427729
572,radovis,41.64,22.46,50,87,33,4.18,MK,1601427729
